DATAFLOW,LAST UPDATE,freq,unit,age,icd10,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2013,53.89,d
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2014,53.93,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2015,56.75,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2016,54.46,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2017,50.09,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2018,58.19,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2019,54.17,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2020,48.31,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HR,2021,49.02,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2011,45,d
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2012,42.94,d
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2013,41.14,d
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2014,40.37,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2015,41.32,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2016,39.24,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2017,41.08,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2018,38.61,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2019,37.55,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2020,33.69,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,HU,2021,34.89,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2011,27.69,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2012,25.88,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2013,24.34,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2014,26.59,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2015,22.24,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2016,21.92,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2017,23,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2018,23.67,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2019,22.25,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2020,28.41,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IE,2021,25.98,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2011,32.3,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2012,29.18,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2013,32.29,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2014,28.07,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2015,29.58,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2016,40.85,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2017,37.87,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2018,42.49,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2019,34.78,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2020,36.84,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IS,2021,37.02,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2011,28.76,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2012,27.74,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2013,26.31,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2014,25.43,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2015,26.64,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2016,26.76,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2017,27.61,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2018,26.63,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2019,26.26,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2020,25.95,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,IT,2021,27.33,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2011,45.14,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2012,22.58,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2013,37.39,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2014,36.24,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2015,15.71,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2016,16.95,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2017,30.91,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2018,31.41,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2019,15.16,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2020,23.55,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LI,2021,19.29,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2011,71.4,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2012,74.1,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2013,69.51,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2014,65.99,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2015,64.84,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2016,62.9,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2017,59.48,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2018,56.16,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2019,50.15,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2020,54.25,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LT,2021,54.49,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2011,40.12,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2012,40.28,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2013,43.63,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2014,34,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2015,36.7,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2016,39,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2017,26.17,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2018,33.88,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2019,29.61,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2020,31.78,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,LU,2021,32.76,
